Admission Average,Enrichment Program,Universities,Video Interview?,Mode of Delivery (G12),Format,Extracurriculars
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of Guelph,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Contests
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,SHAD
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Student Council
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
